client_id,cutoff_date,target_next_recurring_merchant
U000425,2025-10-01,cloud
U000426,2025-10-01,none
U000427,2025-10-01,gym
U000428,2025-10-01,none
U000429,2025-10-01,mobile
U000430,2025-10-01,none
U000431,2025-10-01,cloud
U000432,2025-10-01,cloud
U000433,2025-10-01,software
U000434,2025-10-01,none
U000435,2025-10-01,insurance
U000436,2025-10-01,software
U000437,2025-10-01,software
U000438,2025-10-01,streaming
U000439,2025-10-01,streaming
U000440,2025-10-01,streaming
U000441,2025-10-01,music
U000442,2025-10-01,cloud
U000443,2025-10-01,none
U000444,2025-10-01,cloud
U000445,2025-10-01,streaming
U000446,2025-10-01,mobile
U000447,2025-10-01,gym
U000448,2025-10-01,software
U000449,2025-10-01,none
U000450,2025-10-01,none
U000451,2025-10-01,none
U000452,2025-10-01,none
U000453,2025-10-01,none
U000454,2025-10-01,music
U000455,2025-10-01,software
U000456,2025-10-01,none
U000457,2025-10-01,insurance
U000458,2025-10-01,mobile
U000459,2025-10-01,streaming
U000460,2025-10-01,cloud
U000461,2025-10-01,gym
U000462,2025-10-01,insurance
U000463,2025-10-01,none
U000464,2025-10-01,gym
U000465,2025-10-01,streaming
U000466,2025-10-01,none
U000467,2025-10-01,insurance
U000468,2025-10-01,software
U000469,2025-10-01,none
U000470,2025-10-01,streaming
U000471,2025-10-01,none
U000472,2025-10-01,music
U000473,2025-10-01,none
U000474,2025-10-01,cloud
U000475,2025-10-01,none
U000476,2025-10-01,none
U000477,2025-10-01,none
U000478,2025-10-01,software
U000479,2025-10-01,mobile
U000480,2025-10-01,none
U000481,2025-10-01,insurance
U000482,2025-10-01,none
U000483,2025-10-01,none
U000484,2025-10-01,cloud
U000485,2025-10-01,none
U000486,2025-10-01,streaming
U000487,2025-10-01,none
U000488,2025-10-01,music
U000489,2025-10-01,none
U000490,2025-10-01,none
U000491,2025-10-01,software
U000492,2025-10-01,none
U000493,2025-10-01,none
U000494,2025-10-01,none
U000495,2025-10-01,music
U000496,2025-10-01,none
U000497,2025-10-01,music
U000498,2025-10-01,cloud
U000499,2025-10-01,music
U000500,2025-10-01,cloud
U000501,2025-10-01,gym
U000502,2025-10-01,none
U000503,2025-10-01,gym
U000504,2025-10-01,none
U000505,2025-10-01,gym
U000506,2025-10-01,mobile
U000507,2025-10-01,none
U000508,2025-10-01,none
U000509,2025-10-01,software
U000510,2025-10-01,gym
U000511,2025-10-01,cloud
U000512,2025-10-01,insurance
U000513,2025-10-01,streaming
U000514,2025-10-01,software
U000515,2025-10-01,mobile
U000516,2025-10-01,insurance
U000517,2025-10-01,gym
U000518,2025-10-01,streaming
U000519,2025-10-01,cloud
U000520,2025-10-01,music
U000521,2025-10-01,none
U000522,2025-10-01,cloud
U000523,2025-10-01,gym
U000524,2025-10-01,none
U000525,2025-10-01,cloud
U000526,2025-10-01,none
U000527,2025-10-01,music
U000528,2025-10-01,none
U000529,2025-10-01,none
U000530,2025-10-01,streaming
U000531,2025-10-01,mobile
U000532,2025-10-01,mobile
U000533,2025-10-01,none
U000534,2025-10-01,mobile
U000535,2025-10-01,insurance
U000536,2025-10-01,mobile
U000537,2025-10-01,mobile
U000538,2025-10-01,software
U000539,2025-10-01,gym
U000540,2025-10-01,none
U000541,2025-10-01,none
U000542,2025-10-01,gym
U000543,2025-10-01,software
U000544,2025-10-01,music
U000545,2025-10-01,gym
U000546,2025-10-01,insurance
U000547,2025-10-01,mobile
U000548,2025-10-01,streaming
U000549,2025-10-01,mobile
U000550,2025-10-01,music
U000551,2025-10-01,none
U000552,2025-10-01,none
U000553,2025-10-01,software
U000554,2025-10-01,none
U000555,2025-10-01,gym
U000556,2025-10-01,gym
U000557,2025-10-01,cloud
U000558,2025-10-01,mobile
U000559,2025-10-01,insurance
U000560,2025-10-01,software
U000561,2025-10-01,mobile
U000562,2025-10-01,software
U000563,2025-10-01,insurance
U000564,2025-10-01,none
U000565,2025-10-01,music
U000566,2025-10-01,cloud
U000567,2025-10-01,insurance
U000568,2025-10-01,none
U000569,2025-10-01,none
U000570,2025-10-01,none
U000571,2025-10-01,none
U000572,2025-10-01,streaming
U000573,2025-10-01,mobile
U000574,2025-10-01,insurance
U000575,2025-10-01,insurance
U000576,2025-10-01,software
U000577,2025-10-01,none
U000578,2025-10-01,none
U000579,2025-10-01,music
U000580,2025-10-01,software
U000581,2025-10-01,music
U000582,2025-10-01,mobile
U000583,2025-10-01,software
U000584,2025-10-01,none
U000585,2025-10-01,software
U000586,2025-10-01,music
U000587,2025-10-01,cloud
U000588,2025-10-01,none
U000589,2025-10-01,none
U000590,2025-10-01,cloud
U000591,2025-10-01,mobile
U000592,2025-10-01,gym
U000593,2025-10-01,none
U000594,2025-10-01,mobile
U000595,2025-10-01,none
U000596,2025-10-01,streaming
U000597,2025-10-01,none
U000598,2025-10-01,mobile
U000599,2025-10-01,none
U000600,2025-10-01,mobile
U000601,2025-10-01,streaming
U000602,2025-10-01,none
U000603,2025-10-01,cloud
U000604,2025-10-01,none
U000605,2025-10-01,none
U000606,2025-10-01,none
U000607,2025-10-01,streaming
U000608,2025-10-01,none
U000609,2025-10-01,software
U000610,2025-10-01,cloud
U000611,2025-10-01,mobile
U000612,2025-10-01,none
U000613,2025-10-01,streaming
U000614,2025-10-01,mobile
U000615,2025-10-01,streaming
U000616,2025-10-01,none
U000617,2025-10-01,mobile
U000618,2025-10-01,music
U000619,2025-10-01,none
U000620,2025-10-01,insurance
U000621,2025-10-01,streaming
U000622,2025-10-01,insurance
U000623,2025-10-01,mobile
U000624,2025-10-01,software
U000625,2025-10-01,none
U000626,2025-10-01,gym
U000627,2025-10-01,software
U000628,2025-10-01,none
U000629,2025-10-01,streaming
U000630,2025-10-01,mobile
U000631,2025-10-01,none
U000632,2025-10-01,insurance
U000633,2025-10-01,gym
U000634,2025-10-01,streaming
U000635,2025-10-01,none
U000636,2025-10-01,cloud
U000637,2025-10-01,none
U000638,2025-10-01,streaming
U000639,2025-10-01,none
U000640,2025-10-01,cloud
U000641,2025-10-01,streaming
U000642,2025-10-01,cloud
U000643,2025-10-01,software
U000644,2025-10-01,cloud
U000645,2025-10-01,software
U000646,2025-10-01,music
U000647,2025-10-01,gym
U000648,2025-10-01,none
U000649,2025-10-01,none
U000650,2025-10-01,none
U000651,2025-10-01,none
U000652,2025-10-01,streaming
U000653,2025-10-01,insurance
U000654,2025-10-01,music
U000655,2025-10-01,none
U000656,2025-10-01,cloud
U000657,2025-10-01,insurance
U000658,2025-10-01,none
U000659,2025-10-01,cloud
U000660,2025-10-01,insurance
U000661,2025-10-01,gym
U000662,2025-10-01,gym
U000663,2025-10-01,cloud
U000664,2025-10-01,music
U000665,2025-10-01,music
U000666,2025-10-01,none
U000667,2025-10-01,none
U000668,2025-10-01,none
U000669,2025-10-01,gym
U000670,2025-10-01,cloud
U000671,2025-10-01,none
U000672,2025-10-01,software
U000673,2025-10-01,music
U000674,2025-10-01,gym
U000675,2025-10-01,none
U000676,2025-10-01,none
U000677,2025-10-01,software
U000678,2025-10-01,insurance
U000679,2025-10-01,streaming
U000680,2025-10-01,gym
U000681,2025-10-01,none
U000682,2025-10-01,software
U000683,2025-10-01,music
U000684,2025-10-01,none
U000685,2025-10-01,cloud
U000686,2025-10-01,music
U000687,2025-10-01,cloud
U000688,2025-10-01,insurance
U000689,2025-10-01,music
U000690,2025-10-01,none
U000691,2025-10-01,none
U000692,2025-10-01,none
U000693,2025-10-01,none
U000694,2025-10-01,insurance
U000695,2025-10-01,none
U000696,2025-10-01,cloud
U000697,2025-10-01,cloud
U000698,2025-10-01,none
U000699,2025-10-01,gym
U000700,2025-10-01,cloud
U000701,2025-10-01,software
U000702,2025-10-01,none
U000703,2025-10-01,mobile
U000704,2025-10-01,cloud
U000705,2025-10-01,none
U000706,2025-10-01,none
U000707,2025-10-01,software
U000708,2025-10-01,gym
U000709,2025-10-01,music
U000710,2025-10-01,software
U000711,2025-10-01,none
U000712,2025-10-01,music
U000713,2025-10-01,none
U000714,2025-10-01,music
U000715,2025-10-01,mobile
U000716,2025-10-01,gym
U000717,2025-10-01,none
U000718,2025-10-01,none
U000719,2025-10-01,gym
U000720,2025-10-01,software
U000721,2025-10-01,streaming
U000722,2025-10-01,streaming
U000723,2025-10-01,none
U000724,2025-10-01,gym
U000725,2025-10-01,insurance
U000726,2025-10-01,none
U000727,2025-10-01,music
U000728,2025-10-01,none
U000729,2025-10-01,none
U000730,2025-10-01,cloud
U000731,2025-10-01,none
U000732,2025-10-01,gym
U000733,2025-10-01,gym
U000734,2025-10-01,none
U000735,2025-10-01,insurance
U000736,2025-10-01,mobile
U000737,2025-10-01,streaming
U000738,2025-10-01,software
U000739,2025-10-01,none
U000740,2025-10-01,streaming
U000741,2025-10-01,none
U000742,2025-10-01,gym
U000743,2025-10-01,none
U000744,2025-10-01,music
U000745,2025-10-01,none
U000746,2025-10-01,cloud
U000747,2025-10-01,gym
U000748,2025-10-01,none
U000749,2025-10-01,none
U000750,2025-10-01,music
U000751,2025-10-01,mobile
U000752,2025-10-01,none
U000753,2025-10-01,insurance
U000754,2025-10-01,insurance
U000755,2025-10-01,streaming
U000756,2025-10-01,none
U000757,2025-10-01,insurance
U000758,2025-10-01,software
U000759,2025-10-01,gym
U000760,2025-10-01,software
U000761,2025-10-01,none
U000762,2025-10-01,none
U000763,2025-10-01,insurance
U000764,2025-10-01,insurance
U000765,2025-10-01,none
U000766,2025-10-01,insurance
U000767,2025-10-01,streaming
U000768,2025-10-01,insurance
U000769,2025-10-01,insurance
U000770,2025-10-01,streaming
U000771,2025-10-01,mobile
U000772,2025-10-01,music
U000773,2025-10-01,cloud
U000774,2025-10-01,cloud
U000775,2025-10-01,none
U000776,2025-10-01,insurance
U000777,2025-10-01,insurance
U000778,2025-10-01,none
U000779,2025-10-01,streaming
U000780,2025-10-01,gym
U000781,2025-10-01,streaming
U000782,2025-10-01,software
U000783,2025-10-01,cloud
U000784,2025-10-01,gym
U000785,2025-10-01,streaming
U000786,2025-10-01,none
U000787,2025-10-01,cloud
U000788,2025-10-01,streaming
U000789,2025-10-01,none
U000790,2025-10-01,music
U000791,2025-10-01,none
U000792,2025-10-01,none
U000793,2025-10-01,gym
U000794,2025-10-01,mobile
U000795,2025-10-01,none
U000796,2025-10-01,none
U000797,2025-10-01,cloud
U000798,2025-10-01,mobile
U000799,2025-10-01,none
U000800,2025-10-01,streaming
U000801,2025-10-01,none
U000802,2025-10-01,cloud
U000803,2025-10-01,cloud
U000804,2025-10-01,none
U000805,2025-10-01,streaming
U000806,2025-10-01,none
U000807,2025-10-01,gym
U000808,2025-10-01,none
U000809,2025-10-01,insurance
U000810,2025-10-01,none
U000811,2025-10-01,gym
U000812,2025-10-01,mobile
U000813,2025-10-01,none
U000814,2025-10-01,gym
U000815,2025-10-01,none
U000816,2025-10-01,software
U000817,2025-10-01,insurance
U000818,2025-10-01,cloud
U000819,2025-10-01,none
U000820,2025-10-01,insurance
U000821,2025-10-01,gym
U000822,2025-10-01,mobile
U000823,2025-10-01,none
U000824,2025-10-01,none
U000825,2025-10-01,cloud
U000826,2025-10-01,none
U000827,2025-10-01,none
U000828,2025-10-01,mobile
U000829,2025-10-01,none
U000830,2025-10-01,none
U000831,2025-10-01,none
U000832,2025-10-01,none
U000833,2025-10-01,none
U000834,2025-10-01,none
U000835,2025-10-01,none
U000836,2025-10-01,insurance
U000837,2025-10-01,music
U000838,2025-10-01,cloud
U000839,2025-10-01,none
U000840,2025-10-01,gym
U000841,2025-10-01,none
U000842,2025-10-01,none
U000843,2025-10-01,none
U000844,2025-10-01,streaming
U000845,2025-10-01,insurance
U000846,2025-10-01,software
U000847,2025-10-01,music
U000848,2025-10-01,gym
U000849,2025-10-01,music
U000850,2025-10-01,streaming
U000851,2025-10-01,none
U000852,2025-10-01,none
U000853,2025-10-01,none
U000854,2025-10-01,streaming
U000855,2025-10-01,software
U000856,2025-10-01,none
U000857,2025-10-01,mobile
U000858,2025-10-01,music
U000859,2025-10-01,none
U000860,2025-10-01,none
U000861,2025-10-01,gym
U000862,2025-10-01,insurance
U000863,2025-10-01,none
U000864,2025-10-01,insurance
U000865,2025-10-01,none
U000866,2025-10-01,streaming
U000867,2025-10-01,none
U000868,2025-10-01,none
U000869,2025-10-01,none
U000870,2025-10-01,insurance
U000871,2025-10-01,music
U000872,2025-10-01,none
U000873,2025-10-01,insurance
U000874,2025-10-01,mobile
U000875,2025-10-01,none
U000876,2025-10-01,insurance
U000877,2025-10-01,insurance
U000878,2025-10-01,gym
U000879,2025-10-01,cloud
U000880,2025-10-01,mobile
U000881,2025-10-01,insurance
U000882,2025-10-01,cloud
U000883,2025-10-01,mobile
U000884,2025-10-01,music
U000885,2025-10-01,none
U000886,2025-10-01,none
U000887,2025-10-01,music
U000888,2025-10-01,software
U000889,2025-10-01,none
U000890,2025-10-01,cloud
U000891,2025-10-01,insurance
U000892,2025-10-01,gym
U000893,2025-10-01,streaming
U000894,2025-10-01,none
U000895,2025-10-01,cloud
U000896,2025-10-01,none
U000897,2025-10-01,none
U000898,2025-10-01,cloud
U000899,2025-10-01,none
U000900,2025-10-01,none
U000901,2025-10-01,cloud
U000902,2025-10-01,none
U000903,2025-10-01,music
U000904,2025-10-01,none
U000905,2025-10-01,software
U000906,2025-10-01,cloud
U000907,2025-10-01,none
U000908,2025-10-01,none
U000909,2025-10-01,software
U000910,2025-10-01,none
U000911,2025-10-01,software
U000912,2025-10-01,software
U000913,2025-10-01,streaming
U000914,2025-10-01,none
U000915,2025-10-01,music
U000916,2025-10-01,insurance
U000917,2025-10-01,insurance
U000918,2025-10-01,none
U000919,2025-10-01,music
U000920,2025-10-01,software
U000921,2025-10-01,none
U000922,2025-10-01,mobile
U000923,2025-10-01,mobile
U000924,2025-10-01,none
U000925,2025-10-01,mobile
U000926,2025-10-01,music
U000927,2025-10-01,none
U000928,2025-10-01,none
U000929,2025-10-01,none
U000930,2025-10-01,streaming
U000931,2025-10-01,none
U000932,2025-10-01,none
U000933,2025-10-01,streaming
U000934,2025-10-01,cloud
U000935,2025-10-01,mobile
U000936,2025-10-01,cloud
U000937,2025-10-01,none
U000938,2025-10-01,streaming
U000939,2025-10-01,music
U000940,2025-10-01,none
U000941,2025-10-01,software
U000942,2025-10-01,none
U000943,2025-10-01,none
U000944,2025-10-01,gym
U000945,2025-10-01,none
U000946,2025-10-01,none
U000947,2025-10-01,software
U000948,2025-10-01,none
U000949,2025-10-01,software
U000950,2025-10-01,gym
U000951,2025-10-01,mobile
U000952,2025-10-01,insurance
U000953,2025-10-01,none
U000954,2025-10-01,none
U000955,2025-10-01,none
U000956,2025-10-01,cloud
U000957,2025-10-01,streaming
U000958,2025-10-01,mobile
U000959,2025-10-01,music
U000960,2025-10-01,none
U000961,2025-10-01,insurance
U000962,2025-10-01,mobile
U000963,2025-10-01,cloud
U000964,2025-10-01,gym
U000965,2025-10-01,none
U000966,2025-10-01,none
U000967,2025-10-01,insurance
U000968,2025-10-01,none
U000969,2025-10-01,none
U000970,2025-10-01,music
U000971,2025-10-01,gym
U000972,2025-10-01,insurance
U000973,2025-10-01,streaming
U000974,2025-10-01,none
U000975,2025-10-01,none
U000976,2025-10-01,software
U000977,2025-10-01,gym
U000978,2025-10-01,gym
U000979,2025-10-01,music
U000980,2025-10-01,none
U000981,2025-10-01,none
U000982,2025-10-01,gym
U000983,2025-10-01,none
U000984,2025-10-01,gym
U000985,2025-10-01,music
U000986,2025-10-01,none
U000987,2025-10-01,none
U000988,2025-10-01,gym
U000989,2025-10-01,mobile
U000990,2025-10-01,gym
U000991,2025-10-01,mobile
U000992,2025-10-01,none
U000993,2025-10-01,none
U000994,2025-10-01,none
U000995,2025-10-01,none
U000996,2025-10-01,software
U000997,2025-10-01,streaming
U000998,2025-10-01,gym
U000999,2025-10-01,insurance
U001000,2025-10-01,none
U001001,2025-10-01,gym
U001002,2025-10-01,streaming
U001003,2025-10-01,none
U001004,2025-10-01,mobile
U001005,2025-10-01,none
U001006,2025-10-01,gym
U001007,2025-10-01,music
